Artikelnummer,Matchcode,Mandant,Artikelgruppe,Artikelgruppe_Bezeichnung,Basismengeneinheit,VK1_Preis,EK0_Preis
*301625,"Therapieliege Campus, mit Sitzfunktion",1,7i,Osteopathieliegen,Stk,1980,1980
1,Flyer Diagnostik-Starterset,1,U,Sonstiges,Stk,1,NULL
1135,Rauch: Die Darmreinigung nach,1,Rh,Ernährung,Stk,9.89,9.89
1347,Marquardt: Reflexzonenarbeit am Fuß,1,Ro,Manuelle Medizin,Stk,22.89,22.89
280,Weberstorfer: Arbeit mit Tensoren,1,Rr,Esoterik / Entspannung,Stk,7.54,7.54
69,Dlouhy/Hofmann: Unser Blut -,1,Rq,Alternative Heilverfahren,Stk,12.09,12.09
95,Kliegel/Heng: Organwesen,1,Rr,Esoterik / Entspannung,Stk,11.21,11.21
1,Flyer Physiotherapiebedarf topVit,1,U,Sonstiges,Stk,1,NULL
1008702,Heepen: Hochfrequenz in der Praxis,1,Rs,Laser-& physik. Therapie,Stk,12.75,12.75
1008703,Marschke/Ulrich: Die Hochfrequenz-,1,Rs,Laser-& physik. Therapie,Stk,15.75,15.75
1008704,Heepen: Hochfrequenztherapie in,1,Rs,Laser-& physik. Therapie,Stk,14.29,14.29
10688,Kuklinski: Das HWS-Trauma,1,Ro,Manuelle Medizin,Stk,22.3178,22.3178
1189,Krebs: Praxis der Eigenbluttherapie,1,Rq,Alternative Heilverfahren,Stk,22.43,22.43
119,Piotrowski: Die Kunst des Schröpfens,1,Ru,Schröpfen,Stk,46.72,46.72
1215,"Schmiedel, Augustin: Leitfaden",1,Rq,Alternative Heilverfahren,Stk,78.5,78.5
1332,"Abele: Das Schröpfen, 7. Auflage",1,Ru,Schröpfen,Stk,30.84,30.84
138,Schrott: Weihrauch,1,Rr,Esoterik / Entspannung,Stk,7.02,7.02
1440,Li Wu: Die Organuhr - Leben im Rhythmus,1,Rg,TCM,Stk,6.47,6.47
15066,Jackson-Main: Praktische Irisdiagnose,1,Rj,Diagnostik/ Irisdiagnose,Stk,18.97,18.97
151,Biechele: Basiswissen Augendiagnose,1,Rj,Diagnostik/ Irisdiagnose,Stk,65.37,65.37
1526,Ritter: Stoffwechselstörung HPU,1,Rb,medizin. Themen/ Labor,Stk,10.67,10.67
17861,Bringmann: Low Level Lasertherapie *,1,Rg,TCM,Stk,31.78,31.78
1842,Tuina,1,Ro,Manuelle Medizin,Stk,1,NULL
1843,Shaolin Qi Gong,1,Rr,Esoterik / Entspannung,Stk,1,NULL
1844,Dorn: Die ganzheitliche Methode Dorn,1,Ro,Manuelle Medizin,Stk,10.47,10.47
199,H. Liebl: Bachblüten für jeden Tag,1,Rm,"Homöopathie, Bachblüten, Salze",Stk,6.58,6.58
2,BRAUN Desinfektionsplan,1,Ga,Desinfektionspläne,Stk,1,NULL
2002,Sailer/Wasner: Differenzialdiagnose,1,Rq,Alternative Heilverfahren,Stk,11.77,11.77
2116,Sielmann/Christiansen: Medi-Taping -,1,Ry,Taping,Stk,14.01,14.01
2183,Wurster-Ilg: Das praxisnahe 1x1 des,1,Ru,Schröpfen,Stk,37.33,37.33
220209,Dormann: Laborwerte,1,rb,medizin. Themen/ Labor,Stk,14.72,14.72
2207,Thiele: Heilpraktiker Kompaktwissen,1,Rq,Alternative Heilverfahren,Stk,13.39,13.39
22129,Hecker/Liebchen: Aku-Taping,1,Ry,Taping,Stk,22.43,22.43
22775,Hartenbach: Die Cholesterinlüge,1,Rb,medizin. Themen/ Labor,Stk,7.97,7.97
2543,Greb: Ballengang,1,Ro,Manuelle Medizin,Stk,6.6,6.6
256011,Schubert/Koch: Infusionen u. Injektionen,1,Rb,medizin. Themen/ Labor,Stk,26.17,26.17
263,Harnisch: Die chinesische Heillampe,1,Ra,"Licht-,Wärme-, Farbtherapie",Stk,10.8,10.8
2721,Kliegel: Reflexzonen und Organsprache,1,Ro,Manuelle Medizin,Stk,8.87,8.87
2782,Agustoni: Craniosacral Rhythmus,1,Ro,Manuelle Medizin,Stk,21.03,21.03
2783,Thiele: Mensch Körper pocket,1,Rb,medizin. Themen/ Labor,Stk,15.31,15.31
2997,Ogal/Stör: Bildatlas der Akupunktur,1,Rg,TCM,Stk,37.34,37.34
3145,Ploss: Naturheilkunde bei muskulären,1,Rq,Alternative Heilverfahren,Stk,24.85,24.85
317,Uhl: Chakra Energie Massage,1,Rg,TCM,Stk,7.58,7.58
32192,Höting: Die Moxa-Therapie,1,Rg,TCM,Stk,14.83,14.83
3286,Giessing: Das richtige Pendeln *,1,Rr,Esoterik / Entspannung,Stk,1,NULL
3359,Müller-Burzler: Das Handbuch für,1,Rq,Alternative Heilverfahren,Stk,7.11,7.11
338130,"Koch: Poster ""Die Dorn-Therapie""",1,Dac,Poster,Stk,16.76,16.76
33819,Hemm/Mair: Praktische Biochemie,1,Rm,"Homöopathie, Bachblüten, Salze",Stk,24.27,24.27
338297,Siener: NPSO Erfolg mit der Neuen,1,Rq,Alternative Heilverfahren,Stk,26.14,26.14
338645,"Schünemann: Ableiten, ausleiten,",1,Ru,Schröpfen,Stk,15.84,15.84
34711,Emmrich: Antlitzdiagnostik,1,Rj,Diagnostik/ Irisdiagnose,Stk,9.83,9.83
35393,Gunsch: Anatomische Studien DVD 1,1,Rb,medizin. Themen/ Labor,Stk,1,NULL
38816,Gray: Das Darmheilungsbuch,1,Rq,Alternative Heilverfahren,Stk,7.14,7.14
40528,Linek: Dein Blut lügt nicht,1,Rq,Alternative Heilverfahren,Stk,7.87,7.87
4258,Rossbach: Visuelle Meditationen,1,Rr,Esoterik / Entspannung,Stk,7.32,7.32
441,Gutsch: Diabetes,1,Rb,medizin. Themen/ Labor,Stk,12.09,12.09
451,Platt: Die Hormon-Revolution,1,Rb,medizin. Themen/ Labor,Stk,9.97,9.97
4837,Pfaff: Handbuch der heilenden Farben,1,Ra,"Licht-,Wärme-, Farbtherapie",Stk,5.89,5.89
52810,Strittmatter: Taschenatlas Ohrakupunktur,1,Rg,TCM,Stk,70.08,70.08
5290,"Hildebrand, Kühn: Lehrbuch für HP",1,Rq,Alternative Heilverfahren,Stk,41.36,41.36
5312,Hildebrand: Original-Überprüfungsfragen,1,Rw,HP-Prüfungsfragen/Prüfung*,Stk,29.73,29.73
5320,Hildebrand: Original-Überprüfungsfragen,1,Rw,HP-Prüfungsfragen/Prüfung*,Stk,28.13,28.13
5327,Richter/Hebgen: Triggerpunkte und,1,Ro,Manuelle Medizin,Stk,52.33,52.33
5347,Hildebrand: Multiple-Choice-,1,Rw,HP-Prüfungsfragen/Prüfung*,Stk,31.54,31.54
55660,Matejka: Ausleitende Therapieverfahren,1,ru,Schröpfen,Stk,25.19,25.19
55780,Liem/Dobler: Leitfaden Osteopathie,1,Ro,Manuelle Medizin,Stk,73.6,73.6
5593,"Wüst, Schieferle: Das große Handbuch der",1,Rr,Esoterik / Entspannung,Stk,10.62,10.62
5600,Schultz: Autogenes Training,1,Rr,Esoterik / Entspannung,Stk,5.22,5.22
5601,Wilk: So einfach ist Autogenes Training,1,Za,30% Rabatt,Stk,8.26,8.26
560603,Yuan: Chinesische Zungendiagnostik,1,Rj,Diagnostik/ Irisdiagnose,Stk,28,28
563009,Martin: Das Standardlabor in der,1,Rb,medizin. Themen/ Labor,Stk,44.15,44.15
5646,Becker: Nierensteine und,1,Rb,medizin. Themen/ Labor,Stk,3.87,3.87
591,Abt: Osteobalance inkl. DVD,1,Ro,Manuelle Medizin,Stk,26.14,26.14
595,Steigerwald: Phytotherapie pocket,1,Rq,Alternative Heilverfahren,Stk,9.81,9.81
60045,Rendtorff: Mit Wünschelruten Kraftorte,1,Rr,Esoterik / Entspannung,Stk,14.95,14.95
605182,Feichtinger: Schüßler kurz & bündig,1,Rm,"Homöopathie, Bachblüten, Salze",Stk,11.21,11.21
6073,"Thews: Schabemethode, Gua Sha Fa in der",1,Rg,TCM,Stk,16.54,16.54
6208,Thews: Wärmetherapie in der TCM,1,Rg,TCM,Stk,19.35,19.35
6233,"Jetelina, Thews: Schröpfen BA GUAN FA",1,Ru,Schröpfen,Stk,19.35,19.35
6235,Thews: TCM Innere Medizin,1,Rg,TCM,Stk,41.78,41.78
636,Rieger: Venenschwäche,1,Rb,medizin. Themen/ Labor,Stk,8.73,8.73
6550,Scheffer/Storl: Die Seelenpflanzen,1,Rm,"Homöopathie, Bachblüten, Salze",Stk,18.65,18.65
68196,Abele: Schröpfkopfbehandlung,1,Ru,Schröpfen,Stk,19.62,19.62
6955,Münch: Pathophysiognomik,1,Ra,"Licht-,Wärme-, Farbtherapie",Stk,28.75,28.75
7039,Brandl: Homöopathie pocket,1,Rm,"Homöopathie, Bachblüten, Salze",Stk,12.4,12.4
71920,Choudhury: LM-Potenzen in d. Homöopathie,1,Rm,"Homöopathie, Bachblüten, Salze",Stk,20.43,20.43
08.301.02.23000008,Premier 5.5 Instrument Set-A,1,Ortho,Orthopädie,Stk,4160,4160
08.301.02.23000009,Premier 5.5 Instrument Set-B,1,Ortho,Orthopädie,Stk,2960,2960
08.301.02.23000010A,SINO 6.0 Instrument Set A,1,Ortho,Orthopädie,Stk,1,NULL
08.301.02.23000010B,SINO 6.0 Instrument Set B,1,Ortho,Orthopädie,Stk,1,NULL
08.301.02.23000014,Premier A implant case,1,Ortho,Orthopädie,Stk,800,800
08.301.02.23001401,Rod Reducer Plier 5.5,1,Ortho,Orthopädie,Stk,513,513
08.301.02.23106501,Extension Sleeve 14,1,Ortho,Orthopädie,Stk,30,30
08.301.02.23804503,Screwdriver for Bone Cement Screw,1,Ortho,Orthopädie,Stk,1,NULL
08.301.02.23807500,Premier 5.5 MIS Instrument Set,1,Ortho,Orthopädie,Stk,1,NULL
08.301.02.23900100,Posterior Retractor and Tunnel System/ SET,1,Ortho,Orthopädie,Stk,1,NULL
08.311..01.804105150,Premier MIS ( straight) 5.5 x 150,1,Ortho,Orthopädie,Stk,1,NULL
08.311.01.800001040,SINO Rod 6.0 x 40,1,Ortho,Orthopädie,Stk,6,6
08.311.01.800001045,SINO Rod 6.0 x 45,1,Ortho,Orthopädie,Stk,6,6
08.311.01.800001050,SINI Rod 6.0 x 50,1,Ortho,Orthopädie,Stk,6,6
08.311.01.800001060,SINO Rod 6.0 x 60,1,Ortho,Orthopädie,Stk,6,6
08.311.01.800001070,SINO Rod 6.0 x 70,1,Ortho,Orthopädie,Stk,6,6
08.311.01.800001080,SINO Rod 6.0 x 80,1,Ortho,Orthopädie,Stk,6,6
