ManusLfdNr,default_code,name,list_price,standard_price,categ_id/id,uom_id,uom_po_id,active,sale_ok,purchase_ok,type
*301625,*301625,"Therapieliege Campus, mit Sitzfunktion",1980.0,1980.0,__import__.pc_e0fdde747b273f3fc55a,Units,Units,True,True,True,consu
1,1,Flyer Diagnostik-Starterset,1.0,0.0,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
1135,1135,Rauch: Die Darmreinigung nach,9.89,9.89,__import__.pc_0fd287129f169e3b86a2,Units,Units,True,True,True,consu
1347,1347,Marquardt: Reflexzonenarbeit am Fu§,22.89,22.89,__import__.pc_bfae8e364a0e264ae099,Units,Units,True,True,True,consu
280,280,Weberstorfer: Arbeit mit Tensoren,7.54,7.54,__import__.pc_e384c7e452401d4adb1b,Units,Units,True,True,True,consu
69,69,Dlouhy/Hofmann: Unser Blut -,12.09,12.09,__import__.pc_11a7ef9fc238dc1154ec,Units,Units,True,True,True,consu
95,95,Kliegel/Heng: Organwesen,11.21,11.21,__import__.pc_e384c7e452401d4adb1b,Units,Units,True,True,True,consu
1,1,Flyer Physiotherapiebedarf topVit,1.0,0.0,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
1008702,1008702,Heepen: Hochfrequenz in der Praxis,12.75,12.75,__import__.pc_33e4a4219562e985ebb1,Units,Units,True,True,True,consu
1008703,1008703,Marschke/Ulrich: Die Hochfrequenz-,15.75,15.75,__import__.pc_33e4a4219562e985ebb1,Units,Units,True,True,True,consu
1008704,1008704,Heepen: Hochfrequenztherapie in,14.29,14.29,__import__.pc_33e4a4219562e985ebb1,Units,Units,True,True,True,consu
10688,10688,Kuklinski: Das HWS-Trauma,22.3178,22.3178,__import__.pc_bfae8e364a0e264ae099,Units,Units,True,True,True,consu
1189,1189,Krebs: Praxis der Eigenbluttherapie,22.43,22.43,__import__.pc_11a7ef9fc238dc1154ec,Units,Units,True,True,True,consu
119,119,Piotrowski: Die Kunst des Schräpfens,46.72,46.72,__import__.pc_2f21d1ac1b03c6634ea7,Units,Units,True,True,True,consu
1215,1215,"Schmiedel, Augustin: Leitfaden",78.5,78.5,__import__.pc_11a7ef9fc238dc1154ec,Units,Units,True,True,True,consu
1332,1332,"Abele: Das Schräpfen, 7. Auflage",30.84,30.84,__import__.pc_2f21d1ac1b03c6634ea7,Units,Units,True,True,True,consu
138,138,Schrott: Weihrauch,7.02,7.02,__import__.pc_e384c7e452401d4adb1b,Units,Units,True,True,True,consu
1440,1440,Li Wu: Die Organuhr - Leben im Rhythmus,6.47,6.47,__import__.pc_98e0e5a64661734caf97,Units,Units,True,True,True,consu
15066,15066,Jackson-Main: Praktische Irisdiagnose,18.97,18.97,__import__.pc_baf4802d44130350b234,Units,Units,True,True,True,consu
151,151,Biechele: Basiswissen Augendiagnose,65.37,65.37,__import__.pc_baf4802d44130350b234,Units,Units,True,True,True,consu
1526,1526,Ritter: Stoffwechselstärung HPU,10.67,10.67,__import__.pc_cf63047189d85601ac0a,Units,Units,True,True,True,consu
17861,17861,Bringmann: Low Level Lasertherapie *,31.78,31.78,__import__.pc_98e0e5a64661734caf97,Units,Units,True,True,True,consu
1842,1842,Tuina,1.0,0.0,__import__.pc_bfae8e364a0e264ae099,Units,Units,True,True,True,consu
1843,1843,Shaolin Qi Gong,1.0,0.0,__import__.pc_e384c7e452401d4adb1b,Units,Units,True,True,True,consu
1844,1844,Dorn: Die ganzheitliche Methode Dorn,10.47,10.47,__import__.pc_bfae8e364a0e264ae099,Units,Units,True,True,True,consu
199,199,H. Liebl: BachblŸten fŸr jeden Tag,6.58,6.58,__import__.pc_75c0857b2733da598aa0,Units,Units,True,True,True,consu
2,2,BRAUN Desinfektionsplan,1.0,0.0,__import__.pc_329d06a193164b9d76f6,Units,Units,True,True,True,consu
2002,2002,Sailer/Wasner: Differenzialdiagnose,11.77,11.77,__import__.pc_11a7ef9fc238dc1154ec,Units,Units,True,True,True,consu
2116,2116,Sielmann/Christiansen: Medi-Taping -,14.01,14.01,__import__.pc_6e8587073ea830c54809,Units,Units,True,True,True,consu
