Hauptartikelgruppe,VaterArtikelgruppe,Artikelgruppe,Bezeichnung,Gruppenebene
1,EMPTY,1,"Skelette, Anat.Modelle, Lehrmittel",1
2,EMPTY,2,Labor,1
4,EMPTY,4,Einrichtung & Organisation,1
5,EMPTY,5,Homöopathie,1
6,EMPTY,6,Tensoren & Ruten,1
7,EMPTY,7,Liegen & Zubehör,1
A,EMPTY,A,Infusion & Injektion,1
B,EMPTY,B,Verbandsmaterial,1
C,EMPTY,C,Taping,1
D,EMPTY,D,Lehrmaterialien,1
E,EMPTY,E,Sammelgruppierung Artikelzubehör,1
F,EMPTY,F,Baunscheidt,1
G,EMPTY,G,Desinfektion & Hygiene,1
I,EMPTY,I,Diagnostik,1
J,EMPTY,J,Allgemeiner Praxisbedarf,1
K,EMPTY,K,Erste Hilfe & Notfall,1
L,EMPTY,L,Hocker & Lagerungsmaterial,1
M,EMPTY,M,Schröpfen,1
N,EMPTY,N,Nahrungsergänzung,1
O,EMPTY,O,Ozontherapie,1
Ortho,EMPTY,Ortho,Orthopädie,1
Q,EMPTY,Q,Akupunktur,1
R,EMPTY,R,Bücher & Medien,1
T,EMPTY,T,Therapiebedarf & - geräte,1
U,EMPTY,U,Sonstiges,1
Y,EMPTY,Y,Massage & Wellness,1
Z,EMPTY,Z,Fundgrube,1
1,1,1b,Tier,2
1,1,1c,"Lehrmittel, Übungsobjekte",2
2,2,2a,Schnelldiagnostik,2
2,2,2b,Glaswaren,2
2,2,2c,Instrumente,2
2,2,2d,Labordiagnostik,2
2,2,2e,Laborgeräte,2
2,2,2f,Laborutensilien,2
2,2,2g,Lehrbücher,2
2,2,2h,Blutentnahmesysteme,2
4,4,4a,Praxiseinrichtung,2
4,4,4b,Praxisorganisation,2
4,4,4c,"Arztkoffer, Ampullarien",2
5,5,5a,Etuis und Mappen,2
5,5,5b,Gläschen/Flaschen/Globuli/Zubehör,2
5,5,5c,Sortierhilfen,2
5,5,5d,Literatur Homöopathie,2
6,6,6a,Pendel,2
6,6,6b,Rutensysteme,2
6,6,6c,Einzelruten,2
6,6,6d,"Zubehör, Handtaster",2
7,7,7b,Massage- & Wellnessliegen,2
7,7,7c,methatec-Liegen,2
7,7,7d,Mobile Behandlungsliegen,2
7,7,7e,REZILA - Behandlungsliegen,2
7,7,7f,Therapie- & Massagestühle,2
7,7,7g,Untersuchungsliegen,2
