id,name,parent_id/id
__import__.pc_355130e34e5377940c50,Tier,__import__.pc_b78fc4e5df673772f00d
__import__.pc_49dcdad2ec130ef69aab,"Lehrmittel, Übungsobjekte",__import__.pc_b78fc4e5df673772f00d
__import__.pc_11920883bfe5b90a2893,Schnelldiagnostik,__import__.pc_4dc2ea2f2bfc196eb817
__import__.pc_0e507ca3829ae116eae3,Glaswaren,__import__.pc_4dc2ea2f2bfc196eb817
__import__.pc_8f1935879397c0402502,Instrumente,__import__.pc_4dc2ea2f2bfc196eb817
__import__.pc_988435878dff79c94791,Labordiagnostik,__import__.pc_4dc2ea2f2bfc196eb817
__import__.pc_e984276408d6ab43d43d,Laborgeräte,__import__.pc_4dc2ea2f2bfc196eb817
__import__.pc_651d542f0166961132d5,Laborutensilien,__import__.pc_4dc2ea2f2bfc196eb817
__import__.pc_edbd5e803c0277324abd,Lehrbücher,__import__.pc_4dc2ea2f2bfc196eb817
__import__.pc_fedcc578f57fba5a684c,Blutentnahmesysteme,__import__.pc_4dc2ea2f2bfc196eb817
__import__.pc_9e9dcee313d879e10c3a,Praxiseinrichtung,__import__.pc_8ab12cb65c4be10653a1
__import__.pc_44f9891656802c430663,Praxisorganisation,__import__.pc_8ab12cb65c4be10653a1
__import__.pc_4cbf61dced4454e2018b,"Arztkoffer, Ampullarien",__import__.pc_8ab12cb65c4be10653a1
__import__.pc_9f14c3ce30e99b7ef5c9,Etuis und Mappen,__import__.pc_1911d8d8758369871d48
__import__.pc_b34728db0bca5b360552,Gläschen/Flaschen/Globuli/Zubehör,__import__.pc_1911d8d8758369871d48
__import__.pc_a3e8d85445c825af1181,Sortierhilfen,__import__.pc_1911d8d8758369871d48
__import__.pc_9eada8fd21ba315ba337,Literatur Homöopathie,__import__.pc_1911d8d8758369871d48
__import__.pc_a5cba481443b6c4fbcc4,Pendel,__import__.pc_6a5ff15db1bb9a60d3b6
__import__.pc_b04180f806f5091eba81,Rutensysteme,__import__.pc_6a5ff15db1bb9a60d3b6
__import__.pc_62a8c9f2d403f2e2d616,Einzelruten,__import__.pc_6a5ff15db1bb9a60d3b6
__import__.pc_bfbddfffb95487abcdf5,"Zubehör, Handtaster",__import__.pc_6a5ff15db1bb9a60d3b6
__import__.pc_392d44da86b600c28805,Massage- & Wellnessliegen,__import__.pc_e5e4a2a450d3035e71d7
__import__.pc_8526f59acff35fd51894,methatec-Liegen,__import__.pc_e5e4a2a450d3035e71d7
__import__.pc_61ce29fdf70625b05cd8,Mobile Behandlungsliegen,__import__.pc_e5e4a2a450d3035e71d7
__import__.pc_fccfe7922291562c96ab,REZILA - Behandlungsliegen,__import__.pc_e5e4a2a450d3035e71d7
__import__.pc_897e3bafba8db4569f48,Therapie- & Massagestühle,__import__.pc_e5e4a2a450d3035e71d7
__import__.pc_78653161fd31162df852,Untersuchungsliegen,__import__.pc_e5e4a2a450d3035e71d7
__import__.pc_d5dc033deaaef5c90d55,Liegenbezüge / Fußauflagen,__import__.pc_e5e4a2a450d3035e71d7
__import__.pc_e0fdde747b273f3fc55a,Osteopathieliegen,__import__.pc_e5e4a2a450d3035e71d7
__import__.pc_37eb9c01cfb069930c10,Chirotherapieliegen,__import__.pc_e5e4a2a450d3035e71d7
__import__.pc_f89d8f227cea1da94e78,Infusionsliegen,__import__.pc_e5e4a2a450d3035e71d7
__import__.pc_304dbe831158612dbdf7,Infusion & Transfusion,__import__.pc_58f97bf54f99e349c690
__import__.pc_f608a5d9c981f1781a88,Tupfer und Zubehör,__import__.pc_58f97bf54f99e349c690
__import__.pc_f6e60523e52a3f29e433,Kanülen und Zubehör,__import__.pc_58f97bf54f99e349c690
__import__.pc_2161b55d8e05fa5fcae4,Lehrbücher,__import__.pc_58f97bf54f99e349c690
__import__.pc_4a0111cdb2befff22a4d,Spritzen und Zubehör,__import__.pc_58f97bf54f99e349c690
__import__.pc_b8cefcec53f7f3bab783,Entsorgung,__import__.pc_58f97bf54f99e349c690
__import__.pc_2977a8d60aabd532bca1,Venenstauer,__import__.pc_58f97bf54f99e349c690
__import__.pc_2d31d271b1d874548185,Venensuchgeräte,__import__.pc_58f97bf54f99e349c690
__import__.pc_1b7f1b8fdf876270206d,"Kompressen, unsteril",__import__.pc_3bdba063247c26eb418e
__import__.pc_a69490428686e77cb4e4,"Kompressen, steril",__import__.pc_3bdba063247c26eb418e
__import__.pc_70ae954b7f56c812c043,Pflaster,__import__.pc_3bdba063247c26eb418e
__import__.pc_cf8b559030fbc4cc959b,Verbandsbinden,__import__.pc_3bdba063247c26eb418e
__import__.pc_56a8ca8b73e690c23bad,Verbandsstoffe-Zubehör,__import__.pc_3bdba063247c26eb418e
__import__.pc_546e74338953be127f4d,Verbandzellstoff / -mull,__import__.pc_3bdba063247c26eb418e
__import__.pc_3924540cf3bf838bacf6,AcuTop Gittertapes,__import__.pc_227014d98648d70e20c4
__import__.pc_b5f80b45d2b60bb8189c,Kinesiologische Tapes,__import__.pc_227014d98648d70e20c4
__import__.pc_9aae333875e239d2751a,Literatur / Lehrmaterial,__import__.pc_227014d98648d70e20c4
__import__.pc_c3d7e254d1aa9dab33e1,Taping Zubehör,__import__.pc_227014d98648d70e20c4
__import__.pc_3a9f19188851f1e18ecd,alt,__import__.pc_227014d98648d70e20c4
__import__.pc_e99d97ef3dbaa9b4420b,Karten / Poster,__import__.pc_4f4fce76ea0d882e0b61
__import__.pc_f218d4bd8816b7af4c15,Skelette / Anat. Modelle,__import__.pc_4f4fce76ea0d882e0b61
__import__.pc_c8699470c05cbebaa6fc,Laserneedle,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_12cb6ccc76b05146e782,Tefra,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_868b5d0a65d5943b5176,Laser,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_b47d6c7fcfcfe6811008,Colon,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_f461f81953bbb2e720d0,Sterilisation,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_6417a190b3752a07959e,Diagnostik,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_819c5bebe050086543d1,Akupunktur,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_bdd13465eac3ccb6beea,Lehrmittel,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_644f9c3ac0e8fbf6e8c2,Schröpfen,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_b89e8a21ba90c63af1aa,Physikalische Therapie,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_8dc93d6fd1276d92f29f,Behandlungsliegen Falkner,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_5b7d0afa016735c476ca,Behandlungsliegen Rezila,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_abef8b3c48d4f8f85816,Behandlungsliegen Pader,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_1ddeab9ff67ad56bef52,Wellness,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_a5493400ebad99b23e46,Esoterik,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_cae5e7349d8ef828d31d,Behandlungsliegen Naggura,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_62cbb064842fbc785021,EAV-Zubehör,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_18388d2e5fe3cc271bd5,Desinfektion,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_0b351c01cfc32742be1b,Labor,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_793402ac8249dd139bb6,Trainingsgeräte,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_1c933e49ebb42738db41,Behandlungsliegen relax Sensation,__import__.pc_51c041bfa7d7634c62e2
__import__.pc_4da0f80c04be0e59170b,Einmalnadelkopf (steril),__import__.pc_cadcd648b2c88a4e614f
__import__.pc_ff7edc371c16f7ee831a,Nadelapparate,__import__.pc_cadcd648b2c88a4e614f
__import__.pc_ec0abb1c553abc0612e3,Nadelroller,__import__.pc_cadcd648b2c88a4e614f
__import__.pc_2cb1a12a8a8e4cbe41c6,Lehrmaterial zur Baunscheidt-Therapie,__import__.pc_cadcd648b2c88a4e614f
__import__.pc_329d06a193164b9d76f6,Desinfektionspläne,__import__.pc_cf1d7c81daba7a86a505
__import__.pc_fcd00e05203c087e9643,Flächendesinfektion,__import__.pc_cf1d7c81daba7a86a505
__import__.pc_bd93809bb7868071db9b,Händedesinfektion,__import__.pc_cf1d7c81daba7a86a505
__import__.pc_ad0dfda272d2e27c11f6,Händereinigung & Pflege,__import__.pc_cf1d7c81daba7a86a505
__import__.pc_682b8bd9288e4f7708d7,Instrumentendesinfektion,__import__.pc_cf1d7c81daba7a86a505
__import__.pc_7e8d6edee53b0c9ecf5d,Liegen- und Hygienepapier,__import__.pc_cf1d7c81daba7a86a505
