ManusLfdNr;Artikelnummer;Artikelgruppe_Wert;Artikelgruppe_Bezeichnung;Artikelgruppe Bezeichnung;Matchcode Artikel;Hauptlieferant;Hauptlieferant Matchcode;Lagerplatz;Lagerbestand;Basismengeneinheit_Wert;Basismengeneinheit_Bezeichnung;Verkauf;Beschaffung;Aktiv
9578;AN8863;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Stethoskop Littmann 3M CORE Digital , -Black-;71904;ANS E-Trade GmbH, Stadecken-Elsheim;A01F05;1;Stk;Stück;Ja;Ja;Ja
9572;AN8572;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Stethoskop 3M Littmann CORE Digital , -Rainbow-;71904;ANS E-Trade GmbH, Stadecken-Elsheim;;0;Stk;Stück;Ja;Ja;Ja
9554;AN6242;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Stethoskop Littmann 3M Cardiology IV, High Polish;71904;ANS E-Trade GmbH, Stadecken-Elsheim;A01B05;0;Stk;Stück;Ja;Ja;Ja
9553;AN6241;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Stethoskop Littmann 3 M Cardiology IV, High;71904;ANS E-Trade GmbH, Stadecken-Elsheim;;0;Stk;Stück;Ja;Ja;Ja
9552;AN6238;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Stethoskop 3M Littmann Cardiology IV, High;71904;ANS E-Trade GmbH, Stadecken-Elsheim;A02E06;1;Stk;Stück;Ja;Ja;Ja
10118;AN6234;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Littmann Cardiology IV;71904;ANS E-Trade GmbH, Stadecken-Elsheim;A01B03;0;Ktn;Karton;Ja;Ja;Ja
9551;AN6232;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Stethoskop 3M Littmann Cardiology IV;71904;ANS E-Trade GmbH, Stadecken-Elsheim;E07F04;1;Stk;Stück;Ja;Ja;Ja
10117;AN6205;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Littmann Cardiology IV;71904;ANS E-Trade GmbH, Stadecken-Elsheim;A01C01;0;Ktn;Karton;Ja;Ja;Ja
9550;AN6204;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Stethoskop 3M Littmann Cardiology IV;71904;ANS E-Trade GmbH, Stadecken-Elsheim;A01A03;1;Stk;Stück;Ja;Ja;Ja
9549;AN6203;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Stethoskop 3M Littmann Cardiology IV;71904;ANS E-Trade GmbH, Stadecken-Elsheim;A01A01;1;Stk;Stück;Ja;Ja;Ja
9548;AN6202;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Stethoskop 3M Littmann Cardiology IV,- marineblau-;71904;ANS E-Trade GmbH, Stadecken-Elsheim;A01A02;1;Stk;Stück;Ja;Ja;Ja
9547;AN6201;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Stethoskop 3M Littmann Cardiology IV,black Edition;71904;ANS E-Trade GmbH, Stadecken-Elsheim;A02E01;1;Stk;Stück;Ja;Ja;Ja
9546;AN6200;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Stethoskop 3M Littmann Cardiology IV,black Edition;71904;ANS E-Trade GmbH, Stadecken-Elsheim;A01C03;1;Stk;Stück;Ja;Ja;Ja
9545;AN6190;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Stethoskop 3M Littmann Cardiology IV;71904;ANS E-Trade GmbH, Stadecken-Elsheim;E06D02;2;Stk;Stück;Ja;Ja;Ja
9544;AN6186C;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Stethoskop 3M Littmann Cardiology IV;71904;ANS E-Trade GmbH, Stadecken-Elsheim;A02F07;3;Stk;Stück;Ja;Ja;Ja
9543;AN6179;Idc;Littmann - Stethoskope;Littmann - Stethoskope;Stethoskop 3M Littmann Cardiology IV;71904;ANS E-Trade GmbH, Stadecken-Elsheim;A02F05;1;Stk;Stück;Ja;Ja;Ja
