ManusLfdNr,default_code,name,categ_id,uom_id,uom_po_id,active,sale_ok,purchase_ok,type
9578,AN8863,"Stethoskop Littmann 3M CORE Digital , -Black-",Littmann - Stethoskope,Units,Units,True,True,True,Goods
9572,AN8572,"Stethoskop 3M Littmann CORE Digital , -Rainbow-",Littmann - Stethoskope,Units,Units,True,True,True,Goods
9554,AN6242,"Stethoskop Littmann 3M Cardiology IV, High Polish",Littmann - Stethoskope,Units,Units,True,True,True,Goods
9553,AN6241,"Stethoskop Littmann 3 M Cardiology IV, High",Littmann - Stethoskope,Units,Units,True,True,True,Goods
9552,AN6238,"Stethoskop 3M Littmann Cardiology IV, High",Littmann - Stethoskope,Units,Units,True,True,True,Goods
10118,AN6234,Littmann Cardiology IV,Littmann - Stethoskope,Units,Units,True,True,True,Goods
9551,AN6232,Stethoskop 3M Littmann Cardiology IV,Littmann - Stethoskope,Units,Units,True,True,True,Goods
10117,AN6205,Littmann Cardiology IV,Littmann - Stethoskope,Units,Units,True,True,True,Goods
9550,AN6204,Stethoskop 3M Littmann Cardiology IV,Littmann - Stethoskope,Units,Units,True,True,True,Goods
9549,AN6203,Stethoskop 3M Littmann Cardiology IV,Littmann - Stethoskope,Units,Units,True,True,True,Goods
9548,AN6202,"Stethoskop 3M Littmann Cardiology IV,- marineblau-",Littmann - Stethoskope,Units,Units,True,True,True,Goods
9547,AN6201,"Stethoskop 3M Littmann Cardiology IV,black Edition",Littmann - Stethoskope,Units,Units,True,True,True,Goods
9546,AN6200,"Stethoskop 3M Littmann Cardiology IV,black Edition",Littmann - Stethoskope,Units,Units,True,True,True,Goods
9545,AN6190,Stethoskop 3M Littmann Cardiology IV,Littmann - Stethoskope,Units,Units,True,True,True,Goods
9544,AN6186C,Stethoskop 3M Littmann Cardiology IV,Littmann - Stethoskope,Units,Units,True,True,True,Goods
9543,AN6179,Stethoskop 3M Littmann Cardiology IV,Littmann - Stethoskope,Units,Units,True,True,True,Goods
9542,AN6177,"Stethoskop 3M Littmann Cardiology IV , Hochglanz",Littmann - Stethoskope,Units,Units,True,True,True,Goods
9541,AN6176,Stethoskop 3M Littmann Cardiology IV,Littmann - Stethoskope,Units,Units,True,True,True,Goods
9540,AN6170,Stethoskop 3M Littmann Cardiology IV,Littmann - Stethoskope,Units,Units,True,True,True,Goods
9539,AN6168,Stethoskop 3M Littmann Cardiology IV,Littmann - Stethoskope,Units,Units,True,True,True,Goods
9538,AN6165,Stethoskop 3M Littmann Cardiology IV,Littmann - Stethoskope,Units,Units,True,True,True,Goods
9537,AN6163,"Stethoskop 3M Littmann Cardiology IV,-Black Finish",Littmann - Stethoskope,Units,Units,True,True,True,Goods
